instance_id,window_idx,N,K,topology,chain_strength,n_days,sharpe_annualised,max_drawdown,psr,dsr
equities_20010430_n10,3,10,3,zephyr,2.0,22,-1.7181385532091125,-0.07466086714638265,0.3129018129978878,0.19581988086731184
equities_20010430_n20,3,20,6,pegasus,0.5,22,-1.0982362318366046,-0.053710577708602034,0.37478478048936104,0.24287061456333986
equities_20010430_n20,3,20,6,pegasus,1.0,22,-1.0982362318366046,-0.053710577708602034,0.37478478048936104,0.24287061456333986
equities_20010430_n20,3,20,6,pegasus,2.0,22,-1.0982362318366046,-0.053710577708602034,0.37478478048936104,0.24287061456333986
equities_20010430_n20,3,20,6,zephyr,0.5,22,2.5816596180105464,-0.02387868083526602,0.7699152826777003,0.6430488422587306
equities_20010430_n20,3,20,6,zephyr,1.0,22,2.5816596180105464,-0.02387868083526602,0.7699152826777003,0.6430488422587306
equities_20010430_n20,3,20,6,zephyr,2.0,22,2.5816596180105464,-0.02387868083526602,0.7699152826777003,0.6430488422587306
equities_20010430_n30,3,30,9,pegasus,0.5,22,2.7366414531789105,-0.022002106658577898,0.7998664127556656,0.6705846456566322
equities_20010430_n30,3,30,9,pegasus,1.0,22,3.12412359618319,-0.019947059295631307,0.8393023280131846,0.718682072802233
equities_20010430_n30,3,30,9,pegasus,2.0,22,1.6857592372620005,-0.04414879567028249,0.6871836388394926,0.544431113794615
equities_20010430_n30,3,30,9,zephyr,0.5,22,0.19365284118343257,-0.06298800350021766,0.522271804208481,0.374806641481854
equities_20010430_n30,3,30,9,zephyr,1.0,22,0.19365284118343257,-0.06298800350021766,0.522271804208481,0.374806641481854
equities_20010430_n30,3,30,9,zephyr,2.0,22,0.19365284118343257,-0.06298800350021766,0.522271804208481,0.374806641481854
equities_20251231_n10,4,10,3,pegasus,0.5,20,3.6688869159691246,-0.06061196845894836,0.8103206317234776,0.7148331347678185
equities_20251231_n10,4,10,3,pegasus,1.0,20,3.6688869159691246,-0.06061196845894836,0.8103206317234776,0.7148331347678185
equities_20251231_n10,4,10,3,pegasus,2.0,20,6.313507050025088,-0.06624030666666655,0.8893865220550494,0.8343163738423331
equities_20251231_n10,4,10,3,zephyr,0.5,20,3.556404198672702,-0.05278515520028462,0.813586807571307,0.7140964690767212
equities_20251231_n10,4,10,3,zephyr,1.0,20,3.556404198672702,-0.05278515520028462,0.813586807571307,0.7140964690767212
equities_20251231_n10,4,10,3,zephyr,2.0,20,3.556404198672702,-0.05278515520028462,0.813586807571307,0.7140964690767212
equities_20251231_n20,4,20,6,pegasus,0.5,20,3.847263292979814,-0.030322734486159453,0.8442952229940447,0.7486296088381786
equities_20251231_n20,4,20,6,pegasus,1.0,20,3.847263292979814,-0.030322734486159453,0.8442952229940447,0.7486296088381786
equities_20251231_n20,4,20,6,pegasus,2.0,20,3.847263292979814,-0.030322734486159453,0.8442952229940447,0.7486296088381786
equities_20251231_n20,4,20,6,zephyr,0.5,20,6.815422825844442,-0.03406666666666663,0.9293784455581222,0.8830807465446304
equities_20251231_n20,4,20,6,zephyr,1.0,20,6.815422825844442,-0.03406666666666663,0.9293784455581222,0.8830807465446304
equities_20251231_n20,4,20,6,zephyr,2.0,20,6.815422825844442,-0.03406666666666663,0.9293784455581222,0.8830807465446304
equities_20251231_n30,4,30,9,pegasus,0.5,20,7.548261946966077,-0.018796334279901128,0.9341705783270098,0.8939696716959238
equities_20251231_n30,4,30,9,pegasus,1.0,20,7.548261946966077,-0.018796334279901128,0.9341705783270098,0.8939696716959238
equities_20251231_n30,4,30,9,pegasus,2.0,20,5.6274468108916365,-0.018755908422896157,0.9290032153996083,0.8705833558957685
equities_20251231_n30,4,30,9,zephyr,0.5,20,7.675112190339538,-0.013122222222222193,0.9743991780522616,0.947329928129055
equities_20251231_n30,4,30,9,zephyr,1.0,20,7.675112190339538,-0.013122222222222193,0.9743991780522616,0.947329928129055
equities_20251231_n30,4,30,9,zephyr,2.0,20,7.675112190339538,-0.013122222222222193,0.9743991780522616,0.947329928129055
1over49_baseline_w0,0,49,49,BASELINE_1OVERN,nan,25,-1.2119523633495377,-0.02447596681898115,0.35227492696287416,0.35227492696287416
1over49_baseline_w1,1,49,49,BASELINE_1OVERN,nan,26,2.202641854282926,-0.011317610470524606,0.7420758794610103,0.7420758794610103
1over49_baseline_w2,2,49,49,BASELINE_1OVERN,nan,21,2.923178410996798,-0.02147185823501977,0.7983946385740004,0.7983946385740004
1over49_baseline_w3,3,49,49,BASELINE_1OVERN,nan,22,1.8508102615838078,-0.04248249707577974,0.7076824209009478,0.7076824209009478
1over49_baseline_w4,4,49,49,BASELINE_1OVERN,nan,20,5.34580231074574,-0.016081176576426597,0.9160412828052156,0.9160412828052156
