source,solver,N,family,time_limit_s,n_runs,objective_min,objective_max,objective_range,objective_std,n_unique_objectives,identical
repeated_hybrid,hybrid_bqm,200,block,5,10,4.412553326107034,4.654218615050299,0.2416652889432651,0.07740840510662311,10,False
repeated_hybrid,hybrid_cqm,200,block,300,10,2.043781529275822,2.043781529275822,0.0,0.0,1,True
repeated_hybrid,hybrid_bqm,200,block,300,10,4.0922139013696,4.394404009433755,0.3021901080641545,0.11207791585575454,10,False
repeated_hybrid,hybrid_cqm,50,dense,5,10,-0.7992558126256014,-0.7992558126256014,0.0,1.1102230246251565e-16,1,True
repeated_hybrid,hybrid_bqm,50,dense,5,10,-0.6745433351722131,-0.6283842230645151,0.046159112107697964,0.015933682207998272,10,False
repeated_hybrid,hybrid_cqm,50,dense,300,4,-0.7992558126256014,-0.7992558126256014,0.0,0.0,1,True
repeated_hybrid,hybrid_bqm,50,dense,300,4,-0.752208063665927,-0.7264540588911991,0.02575400477472789,0.009518998884284344,4,False
repeated_hybrid,hybrid_cqm,100,dense,5,10,-1.838704541995073,-1.838704541995073,0.0,2.220446049250313e-16,1,True
repeated_hybrid,hybrid_bqm,100,dense,5,10,-1.4523793638923062,-1.3282819067282414,0.12409745716406473,0.03584516167147876,10,False
repeated_hybrid,hybrid_cqm,100,dense,300,10,-1.838704541995073,-1.838704541995073,0.0,2.220446049250313e-16,1,True
repeated_hybrid,hybrid_bqm,100,dense,300,10,-1.8370429093637926,-1.5566968009411901,0.28034610842260244,0.09786604036628102,10,False
repeated_hybrid,hybrid_cqm,200,dense,5,10,-3.597948620279437,-3.597948620279437,0.0,0.0,1,True
repeated_hybrid,hybrid_bqm,200,dense,5,10,-2.416572330398044,-2.218047435284758,0.19852489511328608,0.05979939947386209,10,False
repeated_hybrid,hybrid_cqm,200,dense,300,10,-3.597948620279437,-3.597948620279437,0.0,0.0,1,True
repeated_hybrid,hybrid_bqm,200,dense,300,10,-2.6169075462607827,-2.4425655075490034,0.17434203871177933,0.06263116202066152,10,False
