source,solver,N,n_runs,spearman_rho,spearman_ci_low,spearman_ci_high,pearson_r,pearson_ci_low,pearson_ci_high,mean_qpu_access_s,mean_objective
repeated_hybrid,hybrid_cqm,50,34,-0.4878588517232344,-0.7744422137444892,-0.14162207248698144,-0.3545584033223769,-0.6246442977182781,-0.027062520408128978,34706.705882352944,-0.6162955488994949
repeated_hybrid,hybrid_cqm,100,40,-0.7750221274528212,-0.8888981958834437,-0.5904104914157767,-0.4745428339738418,-0.6500250938104539,-0.30696333122369895,45994.025,-1.016872626052336
repeated_hybrid,hybrid_cqm,200,40,-0.08892475050420133,-0.41311391037663153,0.2549908871787214,0.02511365410173972,-0.2894373416130234,0.3469923239808605,68564.55,-0.7770835455018076
b2_budget_sweep,hybrid_bqm,50,10,-0.309090909090909,-0.8954248366013071,0.3703703703703703,-0.1173249070380042,-0.7026348702309059,0.5563490676035844,3605587.2,-0.5530943882329507
b2_budget_sweep,hybrid_bqm,100,10,-0.09726488698881035,-0.779326247001406,0.567082686207511,0.05526989452144686,-0.5855758552434435,0.6299357363677226,3258180.4,-0.7459580213883884
b2_budget_sweep,hybrid_bqm,200,10,-0.32121212121212117,-0.8742334905660377,0.4125,0.09457623839891505,-0.6182551477218334,0.6664452519250196,3680049.2,0.9782055378818366
b2_budget_sweep,hybrid_bqm,400,8,-0.880952380952381,-1.0,-0.3164556962025317,-0.4553158207832434,-0.9460433300027424,0.2060302660817785,2934918.125,4.210327589973179
b2_budget_sweep,hybrid_cqm,50,10,-0.9349469900084573,-1.0,-0.7254762501100117,-0.7012669840154373,-1.0,-0.49706742338621723,34705.1,-0.6437395884584107
b2_budget_sweep,hybrid_cqm,100,10,-0.5570860145311556,-0.9938079899999067,0.3286710990610898,-0.333477973055165,-0.9999999906307493,0.6543122708316328,45117.2,-1.0168726260523362
b2_budget_sweep,hybrid_cqm,200,10,-0.20952908873087345,-0.8033264176742436,0.5336760502236151,-0.10650919159138413,-0.6551004390427134,0.6348067779663671,72903.2,-0.7770835455018075
b2_budget_sweep,hybrid_cqm,400,10,0.10444659357341869,-0.5973191135873606,0.796349111732294,0.00016163130184967955,-0.6249839437131431,0.6431850394433515,76418.8,3.04118371159094
